2013-335T12:00:00.000000,  5.90848416120279e+01, -1.90576162159134e+01,  1.89922991424123e+10,  5.90924576965096e+01, -1.90478096342239e+01,  1.89901512652198e+10,  2.57492026942095e+02,  1.19285152426823e+01,  1.89922969916874e+10,  2.57479803081934e+02,  1.19302736574932e+01,  1.89901491147787e+10,  6.33514907917139e+04,  1.26703794275284e+05,  6.31746628910863e-05,  6.33443262445910e+04,  1.26687536481261e+05,  6.31522760170391e-05,  1.30560015745137e-04
2013-336T12:00:00.000000,  5.97893178998195e+01, -1.83726719539012e+01,  1.89939431081998e+10,  5.97969312583993e+01, -1.83628700465974e+01,  1.89917950216777e+10,  2.57500388422612e+02,  1.19274103252145e+01,  1.89939410297830e+10,  2.57488134141259e+02,  1.19290567054215e+01,  1.89917929435368e+10,  6.33569744713186e+04,  1.26714580306292e+05,  6.17308478300281e-05,  6.33498092259469e+04,  1.26698683955371e+05,  6.17086192629854e-05,  1.27699122595346e-04
2013-337T12:00:00.000000,  6.04855992576023e+01, -1.76827854085153e+01,  1.89955499329859e+10,  6.04932109007339e+01, -1.76729917216815e+01,  1.89934016412897e+10,  2.57508766710998e+02,  1.19263824207881e+01,  1.89955479276894e+10,  2.57496485842229e+02,  1.19279161512213e+01,  1.89933996362614e+10,  6.33623342618774e+04,  1.26725118222237e+05,  6.02840594224222e-05,  6.33551683321189e+04,  1.26709584223866e+05,  6.02619901877885e-05,  1.24830297951444e-04
2013-338T12:00:00.000000,  6.11739279256877e+01, -1.69881147559808e+01,  1.89971195462298e+10,  6.11815388217753e+01, -1.69783328388937e+01,  1.89949710535322e+10,  2.57517159173922e+02,  1.19254318660645e+01,  1.89971176148448e+10,  2.57504855588113e+02,  1.19268524125133e+01,  1.89949691224074e+10,  6.33675699280929e+04,  1.26735407698691e+05,  5.88354189591780e-05,  6.33604033278656e+04,  1.26720236685991e+05,  5.88135099565528e-05,  1.21955559027977e-04
2013-339T12:00:00.000000,  6.18545428595696e+01, -1.62888123762532e+01,  1.89986519070818e+10,  6.18621539542194e+01, -1.62790457545149e+01,  1.89965032175687e+10,  2.57525563183290e+02,  1.19245589395112e+01,  1.89986500503779e+10,  2.57513240752212e+02,  1.19258658521879e+01,  1.89965013611170e+10,  6.33726813337038e+04,  1.26745448603749e+05,  5.73860854038745e-05,  6.33655140769709e+04,  1.26730640924931e+05,  5.73643373732858e-05,  1.19077125803825e-04
2013-340T12:00:00.000000,  6.25276798987071e+01, -1.55850250048503e+01,  1.90001470038921e+10,  6.25352921383436e+01, -1.55752771590178e+01,  1.89979981217597e+10,  2.57533976139824e+02,  1.19237638657068e+01,  1.90001452226176e+10,  2.57521638702476e+02,  1.19249567748269e+01,  1.89979963407293e+10,  6.33776684398513e+04,  1.26755240982890e+05,  5.59371430763310e-05,  6.33705005406098e+04,  1.26740796717942e+05,  5.59155565832434e-05,  1.16197230987354e-04
2013-341T12:00:00.000000,  6.31935724590805e+01, -1.48768944052091e+01,  1.90016048510614e+10,  6.32011868126444e+01, -1.48671687592110e+01,  1.89994557805131e+10,  2.57542395489322e+02,  1.19230468238070e+01,  1.90016031459430e+10,  2.57530046826482e+02,  1.19241254289026e+01,  1.89994540756305e+10,  6.33825312945713e+04,  1.26764785031319e+05,  5.44895146231246e-05,  6.33753627668415e+04,  1.26750704028487e+05,  5.44680900644134e-05,  1.13317922804157e-04
2013-342T12:00:00.000000,  6.38524523142654e+01, -1.41645582819342e+01,  1.90030254842581e+10,  6.38600697883274e+01, -1.41548582016725e+01,  1.90008762295014e+10,  2.57550818729636e+02,  1.19224079574603e+01,  1.90030238560005e+10,  2.57538462550759e+02,  1.19233720138375e+01,  1.90008746014713e+10,  6.33872700168397e+04,  1.26774081061780e+05,  5.30439237808126e-05,  6.33801008746571e+04,  1.26760362983346e+05,  5.30226614061136e-05,  1.10440924503111e-04
2013-343T12:00:00.000000,  6.45045500866902e+01, -1.34481510487767e+01,  1.90044089553157e+10,  6.45121717325544e+01, -1.34384798481776e+01,  1.90022595205608e+10,  2.57559243409857e+02,  1.19218473838014e+01,  1.90044074046017e+10,  2.57546883351307e+02,  1.19226966894860e+01,  1.90022579700659e+10,  6.33918847795553e+04,  1.26783129474521e+05,  5.16009056132994e-05,  6.33847150369633e+04,  1.26769773842394e+05,  5.15798055527618e-05,  1.07567582844772e-04
2013-344T12:00:00.000000,  6.51500953015660e+01, -1.27278042336467e+01,  1.90057553278049e+10,  6.51577222156613e+01, -1.27181651844299e+01,  1.90036057172629e+10,  2.57567667124794e+02,  1.19213652003275e+01,  1.90057538552949e+10,  2.57555306755735e+02,  1.19220995855083e+01,  1.90036042449634e+10,  6.33963757947669e+04,  1.26791930732965e+05,  5.01608443767907e-05,  6.33892054658122e+04,  1.26778936965883e+05,  5.01399066678694e-05,  1.04698895826865e-04
